dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,P8,parietal,right,0.4304581181427915,-0.8429052463910327,1_P8
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,P8,parietal,right,0.4304581181427915,-0.8429052463910327,1_P8
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,P8,parietal,right,0.4304581181427915,-0.8429052463910327,1_P8
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,P8,parietal,right,1.9115385704494876,0.6479084520566865,1_P8
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,P8,parietal,right,1.9115385704494876,0.6479084520566865,1_P8
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,P8,parietal,right,0.6985631040492016,-0.35872976213352004,1_P8
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,P8,parietal,right,0.4487060967861045,-0.8013871784256856,1_P8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P8,parietal,right,4.316298070131301,1.4623981066728033,1_P8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P8,parietal,right,4.316298070131301,1.4623981066728033,1_P8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P8,parietal,right,4.316298070131301,1.4623981066728033,1_P8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P8,parietal,right,4.316298070131301,1.4623981066728033,1_P8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P8,parietal,right,4.316298070131301,1.4623981066728033,1_P8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P8,parietal,right,4.316298070131301,1.4623981066728033,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P8,parietal,right,4.194162469867618,1.4336936703721384,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P8,parietal,right,5.132686969055358,1.6356292977044136,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,P8,parietal,right,12.53858785420744,2.5288109175564237,1_P8
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,P8,parietal,right,3.4810853979122593,1.2473441411087505,1_P8
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,P8,parietal,right,3.4810853979122593,1.2473441411087505,1_P8
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,P8,parietal,right,3.4810853979122593,1.2473441411087505,1_P8
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,P8,parietal,right,3.4810853979122593,1.2473441411087505,1_P8
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,P8,parietal,right,3.4810853979122593,1.2473441411087505,1_P8
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,P8,parietal,right,3.4810853979122593,1.2473441411087505,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,P8,parietal,right,9.536488221965156,2.2551253067856245,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
Jin et al. (2019),1_2,1,2,jin2019,109,vs,external,MW,P8,parietal,right,10.7024140153892,2.370469324936875,1_P8
