Channel,Value,Mask
Cz,-1.422552712050808,True
Pz,-0.534713100731474,True
Oz,0.5263550989016318,True
Fz,-0.03249581349937501,True
C3,-0.6612335492826648,False
C4,-0.9686723595134048,True
P3,0.08542978351988645,True
P4,0.7836178707673237,True
Cz,-1.2856514741818865,True
Pz,-0.07868104291414535,True
Oz,0.6152490008017476,True
Fz,0.7906422445310489,True
C3,0.7877039503222824,True
C4,1.9705735111546114,True
P3,0.9904463576198935,True
P4,1.661331157870934,True
Cz,-0.7163284137028524,True
Pz,-0.07227192912452515,True
Oz,0.9398185742159081,True
Fz,0.7105654786236479,True
C3,0.3206888106293913,True
C4,1.575940598819033,True
P3,0.7824892347034984,True
P4,1.5828654278044083,True
Cz,-1.419469925499061,True
Pz,-0.3931603582750045,True
Oz,0.633325472027551,True
Fz,0.16480794124431974,True
C3,0.7627116249507727,True
C4,-0.2447520966735002,True
P3,0.633787534225816,True
P4,0.4439978431579869,True
Cz,-0.8382882401309648,True
Pz,0.08483918662978422,True
Oz,0.7408457704723952,True
Fz,0.7154674410628356,True
C3,1.9370968666663904,True
C4,1.5652807513994744,True
P3,1.071736845937908,True
P4,1.0743174890171427,True
Cz,-0.5830825000690827,True
Pz,0.4396387017703213,True
Oz,0.5649441813661544,True
Fz,0.4650828773182013,True
C3,0.5557768371590917,True
C4,1.7794319189557186,True
P3,0.8262669794915067,True
P4,0.6710027213969652,True
Cz,-0.8963025856379409,True
Pz,-0.13032023265485926,True
Oz,0.744082798914763,True
Fz,0.3661798199833037,True
C3,0.7340265927296103,True
C4,1.3639368942032553,True
P3,0.6642448193446481,True
P4,1.3611885432672366,True
Cz,0.055407031638473755,True
Pz,1.2604554701334465,True
Oz,1.7129372832655274,True
Fz,1.219506087549344,True
C3,1.976480002855473,True
C4,1.6251474246382351,True
P3,1.4366330007340522,True
P4,1.9092106318434072,True
Cz,-0.4836923210399827,True
Pz,1.0340695243775209,True
Oz,1.5122277367242525,True
Fz,0.9499657854186385,True
C3,1.3335403352237383,True
C4,0.5711175870414528,True
P3,0.7760604851076119,True
P4,1.7743405987541434,True
Cz,-0.9378996241948894,True
Pz,0.5002267811599187,True
Oz,0.763921731306599,True
Fz,0.3913612027001334,True
C3,0.5894626339164736,True
C4,1.5290476926432561,True
P3,1.4740720597487569,True
P4,0.5713414164768921,True
Cz,0.3525798842024386,True
Pz,0.6654312387194212,True
Oz,1.4790608795919917,True
Fz,1.064118351168291,True
C3,2.1448182031758876,True
C4,2.2780146476841536,True
P3,1.765987983743544,True
P4,1.7357139419535506,True
Cz,-0.20723424108099214,True
Pz,0.22898250892780908,True
Oz,1.0657869338921184,True
Fz,0.6815613993158688,True
C3,1.3412014298818682,True
C4,1.1524708248760231,True
P3,0.1508206199776499,True
P4,1.4017130805474347,True
Cz,-1.4654399009244528,True
Pz,-0.1520026785083126,True
Oz,0.7378296087004108,True
Fz,-0.15865684268702623,True
C3,-0.7457368647539181,False
C4,-0.743852014944831,True
P3,0.4341298662769619,True
P4,0.481082462784856,True
Cz,-0.4993680244523147,True
Pz,0.5395626838164399,True
Oz,1.2193806807318024,True
Fz,1.1013912292297399,True
C3,1.2443515105793228,True
C4,0.6597185477037555,True
P3,1.1000349098925173,True
P4,1.2038197427567263,True
Cz,0.14561574254559936,True
Pz,0.860613552472955,True
Oz,1.2477058190573382,True
Fz,1.1321959046226728,True
C3,1.5172377548530385,True
C4,2.157812970474252,True
P3,0.9744208558096716,True
P4,1.3305219391092546,True
Cz,0.23860849856702282,True
Pz,0.762644344752582,True
Oz,1.4278914779190843,True
Fz,1.304328973378465,True
C3,1.5541084187963428,True
C4,1.8693147391854994,True
P3,1.8310163548175653,True
