Channel,Value,Mask
Cz,-3.730537364093182,True
Pz,-3.571116406829799,True
Oz,-3.677287619489639,True
Fz,-1.5803523454990043,True
C3,-3.336279913299562,True
C4,-2.500950727625299,True
P3,-1.7476637832650603,True
P4,-1.9283758919565286,True
Cz,-3.6388991638943144,True
Pz,-3.2895515825914745,True
Oz,-2.8544421551075363,True
Fz,-1.5226894272614453,True
C3,-3.453294254819148,True
C4,-2.7438516473464203,True
P3,-1.7120422083735056,True
P4,-1.9270367372104393,True
Cz,-3.2789137859761213,True
Pz,-3.1363127907468313,True
Oz,-2.6565297630522013,True
Fz,-0.7339598096123651,False
C3,-2.572652024104094,True
C4,-1.686169079619711,True
P3,-1.6685012304598341,True
P4,-0.906079895620417,True
Cz,-3.066624093087489,True
Pz,-3.0312501223188124,True
Oz,-2.847330838281195,True
Fz,-1.8156735685366086,True
C3,-3.133447135003649,True
C4,-2.0816147120959707,True
P3,-1.8523264496321192,True
P4,-1.6881547057605033,True
Cz,-3.0135331712665927,True
Pz,-2.956410286068414,True
Oz,-2.565715742835847,True
Fz,-0.8882129445445945,False
C3,-2.8105933213327154,True
C4,-1.748704730975583,True
P3,-0.7991070371708311,False
P4,-1.201540044539203,True
Cz,-3.0674368594791064,True
Pz,-2.8786688479933384,True
Oz,-2.9750693128001005,True
Fz,-1.2092209067281101,True
C3,-2.887851249918459,True
C4,-1.9532375609098782,True
P3,-1.6105822906421392,True
P4,-1.230695884435307,True
Cz,-3.1109184577258895,True
Pz,-2.991736802745213,True
Oz,-2.5273080157343073,True
Fz,-1.2297190924170596,True
C3,-2.7591904132125546,True
C4,-2.2190449799100302,True
P3,-1.1841630405651684,True
P4,-1.9498121036364888,True
Cz,-3.2831515396754973,True
Pz,-3.072977073293137,True
Oz,-2.8745834594621997,True
Fz,-1.4550212499852544,True
C3,-3.230161411494026,True
C4,-2.284252143142856,True
P3,-1.635989799354121,True
P4,-1.738430197513167,True
Cz,-3.1182863719257763,True
Pz,-3.118230667035371,True
Oz,-2.858481422410261,True
Fz,-0.8153711050684525,False
C3,-2.393421158978208,True
C4,-1.4763415737129608,True
P3,-0.8259731371634341,False
P4,-0.9029388279893501,True
Cz,-3.026155450922317,True
Pz,-3.0374513205142746,True
Oz,-2.804699419207727,True
Fz,-0.990893831635037,False
C3,-2.691516715106455,True
C4,-1.8412947911577286,True
P3,-1.3166930257516096,True
P4,-0.9468025923914514,True
Cz,-3.573382777551365,True
Pz,-3.3912318142931634,True
Oz,-3.5059852916934413,True
Fz,-1.5232310108345313,True
C3,-3.0312630125394455,True
C4,-2.4661279804465486,True
P3,-1.4929665524369842,True
P4,-2.0878282410905284,True
Cz,-3.1937201470223897,True
Pz,-2.709807341622608,True
Oz,-2.76503616542692,True
Fz,-0.8897194516931375,False
C3,-2.9754179503585023,True
C4,-1.9086867110375294,True
P3,-1.528846201840822,True
P4,-0.7046897518535845,False
Cz,-2.6237300839127844,True
Pz,-2.4255344926695455,False
Oz,-2.133074735291692,False
Fz,-0.9712896302899138,False
C3,-2.4413017581505234,True
C4,-1.8596122538462483,True
P3,-1.0993561212025684,True
P4,-1.2405777369657627,True
Cz,-3.044336886322272,True
Pz,-2.749526416669583,True
Oz,-2.592922394274344,True
Fz,-0.8773699284990762,False
C3,-2.3179406056818963,True
C4,-1.745265080701821,True
P3,-1.1712794641224142,True
P4,-1.0069205297798227,True
Cz,-3.1458349520086752,True
Pz,-3.0816670606104455,True
Oz,-2.7365817772876717,True
Fz,-0.4438735817596882,False
C3,-2.310879202247712,True
C4,-1.5441598148594835,True
P3,-1.3514383344926,True
P4,-1.5974593374004744,True
Cz,-2.760659496441956,True
Pz,-2.6373654883571396,True
Oz,-2.5498047333497045,True
Fz,-1.447851925297622,True
C3,-2.357571652705506,True
C4,-1.8849155135136635,True
P3,-1.560220747203946,True
P4,-1.4184025005174157,True
Cz,-3.294863067928024,True
Pz,-3.403496293455272,True
Oz,-3.2370223993434153,True
Fz,-1.8084854877811725,True
C3,-2.799847773652991,True
C4,-2.064404692588737,True
P3,-1.6385472904758691,True
P4,-1.6468180042959693,True
Cz,-3.3580487145803066,True
Pz,-3.2651291339374673,True
Oz,-3.2873407408455386,True
Fz,-1.741997149517163,True
C3,-3.1589377485526993,True
C4,-2.532632188400125,True
P3,-1.8706972455273463,True
P4,-1.9675184686797,True
Cz,-3.1657512911181978,True
Pz,-3.0698756014358555,True
Oz,-3.2860563616257643,True
Fz,-2.0112956397460007,True
C3,-3.0067753439326306,True
C4,-2.130686578549505,True
P3,-2.2126411689313734,True
P4,-1.8980244719082418,True
Cz,-3.272672980671176,True
Pz,-3.342854001593218,True
Oz,-3.0915495818194993,True
Fz,-1.8221027475408356,True
C3,-2.8665330901584087,True
C4,-2.245997738440026,True
P3,-1.8744729803012932,True
P4,-1.507288445998202,True
Cz,-3.710038908143658,True
Pz,-3.4024335285465406,True
Oz,-3.2182906355521754,True
Fz,-2.0049953434140066,True
C3,-3.0323515931603637,True
C4,-2.2891774275802126,True
P3,-1.6711326601783096,True
P4,-1.993041747146015,True
Cz,-3.198935922856277,True
Pz,-3.0411374072207975,True
Oz,-2.996511196859061,True
Fz,-1.7175173643100665,True
C3,-2.6734738339774653,True
C4,-2.1464541726125588,True
P3,-1.8850784146140678,True
P4,-1.236669485000871,True
Cz,-3.3869363034293185,True
Pz,-3.2770169248922154,True
Oz,-3.201545727940794,True
Fz,-1.6290771766601606,True
C3,-3.222771518857491,True
C4,-2.3521451937876185,True
P3,-1.5081201468944672,True
P4,-1.9068547865992331,True
Cz,-3.321251281999765,True
Pz,-3.18892944058948,True
Oz,-2.930585504676704,True
Fz,-1.255131407792179,True
C3,-2.8195453742906933,True
C4,-1.9496806746654984,True
P3,-1.5382686921953481,True
P4,-1.9105284688770094,True
Cz,-3.2511259948436857,True
Pz,-2.98289697788569,True
Oz,-2.8449580815956876,True
Fz,-1.01096494120537,False
C3,-3.0495085440580674,True
C4,-2.345428168237701,True
P3,-1.5037063647791054,True
P4,-1.797419916944627,True
Cz,-2.652702766950519,True
Pz,-2.528366665224173,True
Oz,-2.3605378987304273,True
Fz,-1.1416587323156284,False
C3,-2.4043920181036107,True
C4,-1.838463655186379,True
P3,-1.2911990646671123,True
P4,-1.128138736949661,True
Cz,-3.5648991737874423,True
Pz,-3.4646805986323272,True
Oz,-3.3731401414407727,True
Fz,-1.4804787613606047,True
C3,-3.169267489198545,True
C4,-2.054738919458665,True
P3,-1.7950150024170268,True
P4,-1.9324390547644434,True
Cz,-2.9231366089909288,True
Pz,-2.6459647418362975,True
Oz,-2.5247193712162215,True
Fz,-1.1056793195796089,False
C3,-2.7692517903136653,True
C4,-1.8823800445512975,True
P3,-1.2709884185397469,True
P4,-1.4300900293164838,True
Cz,-3.0850805047687233,True
Pz,-2.800329315336275,True
Oz,-2.41598371898339,True
Fz,-0.9505754261995146,False
C3,-2.5539238372030244,True
C4,-1.9984805060988142,True
P3,-1.528300389577406,True
P4,-1.130554122535589,True
Cz,-2.753015527274076,True
Pz,-2.484867344828208,True
Oz,-2.0961381768786347,False
Fz,-0.6636630722118965,False
C3,-2.2271606032310927,True
C4,-2.0181254181889403,True
P3,-1.0912570928977283,True
P4,-0.6275860486124624,False
Cz,-3.420989267672951,True
Pz,-3.223369034434858,True
Oz,-3.050224317567711,True
Fz,-1.9302126586098567,True
C3,-3.163740075993298,True
C4,-2.36954988001538,True
P3,-1.6668902658074842,True
P4,-1.5825619945546825,True
Cz,-3.3084290033931865,True
Pz,-3.3176082346777,True
Oz,-3.076562846288809,True
Fz,-1.7319147288430348,True
C3,-3.0723676609664077,True
C4,-2.383570178023567,True
P3,-2.058107262016732,True
P4,-1.7015337760165805,True
Cz,-2.858154394146746,True
Pz,-2.82102587487676,True
Oz,-2.6857007288819523,True
Fz,-1.4391333644332465,True
C3,-2.548752266232036,True
C4,-2.1528624335858533,True
P3,-1.5092511021758852,True
P4,-1.6861548339121464,True
Cz,-3.046770716538966,True
Pz,-3.079407458271817,True
Oz,-3.022130635977738,True
Fz,-1.8045570823379495,True
C3,-2.7157077153108276,True
C4,-2.1570304994790113,True
P3,-1.6238114167895519,True
P4,-1.3090244472831163,True
Cz,-3.212063377171391,True
Pz,-3.1787077754412962,True
Oz,-3.291398674709201,True
Fz,-1.8434241399308593,True
C3,-2.835784529518429,True
C4,-2.230365542846686,True
P3,-1.8573755739296958,True
P4,-1.8247999109373545,True
Cz,-3.684626093874325,True
Pz,-3.5529375421079865,True
Oz,-3.4841422375184745,True
Fz,-1.9523799206390224,True
C3,-3.2172174280844685,True
C4,-2.448746473051742,True
P3,-1.8721717660774202,True
P4,-1.6138577149783402,True
Cz,-3.7082141317520287,True
Pz,-3.73776945094563,True
Oz,-3.566891205832029,True
Fz,-2.0615271391527403,True
C3,-3.4191619412812084,True
C4,-2.394175292400262,True
P3,-2.1126097183300305,True
P4,-1.8880198044357948,True
Cz,-3.6210079015725745,True
Pz,-3.990502267829584,False
