Channel,Value,Mask
Cz,-1.9449586571141,True
Pz,-0.8459555657320799,True
Oz,-0.41445275675433013,True
Fz,-1.6180958498691091,True
C3,-2.0239079025738844,True
C4,-2.0789685053637785,True
P3,-1.7903618331873556,True
P4,-1.620379853015604,True
Cz,-1.808336485504455,True
Pz,-1.00306520392047,True
Oz,-0.20344919172482062,True
Fz,-1.2557533832666148,True
C3,-2.350540372295855,True
C4,-2.1382174905015963,True
P3,-1.4224526052902429,True
P4,-1.6668752809148781,True
Cz,-1.602153391377808,True
Pz,-0.5501477381308302,True
Oz,-0.5011853031551778,True
Fz,-1.2818868550984537,True
C3,-2.225982338688309,True
C4,-2.2432255072746217,True
P3,-1.2945666367896516,True
P4,-1.488670089773677,True
Cz,-1.5103563412521037,True
Pz,-0.641779493936117,True
Oz,-0.38138643628309793,True
Fz,-1.2313341879481579,True
C3,-1.9753561351360238,True
C4,-1.8309123027603715,True
P3,-0.93323357036899,True
P4,-0.7027417662121924,True
Cz,-1.9605479725745427,True
Pz,-1.120219148058622,True
Oz,-0.4616072819715393,True
Fz,-1.3286596071484815,True
C3,-2.014255868614027,True
C4,-2.220153839771258,True
P3,-1.3020786590346531,True
P4,-1.8193195121765962,True
Cz,-1.9335767885040833,True
Pz,-1.3936230838897463,True
Oz,-0.69870101491196,True
Fz,-1.596327754107643,True
C3,-2.391907314495149,True
C4,-2.370118981419186,True
P3,-1.6296935374861679,True
P4,-1.7391507219896984,True
Cz,-1.5642662315397604,True
Pz,-1.281848466146275,True
Oz,-0.7349797107287661,True
Fz,-1.3785806310559054,True
C3,-1.8802310333998526,True
C4,-1.9746862624342079,True
P3,-1.5436395090749162,True
P4,-1.495888210642956,True
Cz,-1.7458738791183905,True
Pz,-0.9817256859219361,True
Oz,-0.5142166681061257,True
Fz,-1.3903401480276685,True
C3,-1.4008456713507984,True
C4,-2.2118859693837525,True
P3,-1.1754720552327502,True
P4,-1.4230288403519797,True
Cz,-2.1499341592183336,True
Pz,-1.0743010644788065,True
Oz,-0.8374792889637054,True
Fz,-1.4469339483905985,True
C3,-1.7985048795122018,True
C4,-2.071493065521722,True
P3,-1.170396764286749,True
P4,-1.4826742744760155,True
Cz,-1.989420412929332,True
Pz,-0.7556632542432247,True
Oz,-0.6310793942950071,True
Fz,-1.1983602024306912,True
C3,-2.1979461637667312,True
C4,-2.4152622014423204,True
P3,-1.3193521524258975,True
P4,-1.671214961962678,True
Cz,-1.8815405648960326,True
Pz,-1.0980411998347486,True
Oz,-0.894301843093659,True
Fz,-1.7200818558426136,True
C3,-1.9547489471247976,True
C4,-2.1150632509919487,True
P3,-1.3882988384511041,True
P4,-1.32879765622268,True
Cz,-2.015358692209787,True
Pz,-0.6850346594247005,True
Oz,-1.0210999445108713,True
Fz,-1.823895197477391,True
C3,-2.1822505995324697,True
C4,-1.814872714390678,True
P3,-1.195347314229649,True
P4,-1.4503857551290358,True
Cz,-2.02333074283235,True
Pz,-1.4898011480750342,True
Oz,-0.3306613612562838,True
Fz,-1.266961709925458,True
C3,-2.145300775678085,True
C4,-2.0846698991675177,True
P3,-1.7208506310037972,True
P4,-1.7726383398057508,True
Cz,-1.7919412842309352,True
Pz,-0.831326050909632,True
Oz,-0.5769029586392121,True
Fz,-1.5761603686241072,True
C3,-1.9035817240707102,True
C4,-1.7975918798488024,True
P3,-1.0394162076390687,True
P4,-1.7507170988038148,True
Cz,-1.845919934454874,True
Pz,-0.7427896019477275,True
Oz,-0.27461694992742247,True
Fz,-0.951881259964517,True
C3,-1.9296511155877816,True
C4,-1.7484361294578417,True
P3,-1.0025738527589425,True
P4,-1.463258248373331,True
Cz,-2.2827806252024927,True
Pz,-0.9864790428550685,True
Oz,-0.6931076869964762,True
Fz,-1.6690903704263884,True
C3,-1.917963743674623,True
C4,-2.488685859581399,True
P3,-1.6450926168244304,True
P4,-1.762550709566542,True
Cz,-1.9684798052278918,True
Pz,-1.244951254011922,True
Oz,-0.8885750498543196,True
Fz,-1.3674258837845148,True
C3,-2.215465778619338,True
C4,-2.1025139459612836,True
P3,-1.4686340492650454,True
P4,-1.6831121986742803,True
Cz,-1.7251468408021373,True
Pz,-1.402524968989327,True
Oz,-0.21538016394556495,True
Fz,-1.403466894664245,True
C3,-2.1181762155248482,True
C4,-2.0525934148191913,True
P3,-1.4031098080442266,True
P4,-1.7115908485560347,True
Cz,-1.9938397553874592,True
Pz,-1.1294340395322384,True
Oz,-0.5928032594250809,True
Fz,-1.5406401719142426,True
C3,-1.9817038950860775,True
C4,-2.1948580210402997,True
P3,-1.4199824026805008,True
P4,-1.4311621394123333,True
