Channel,Value,Mask
Cz,-2.0704439339774,True
Pz,-1.517644810158985,True
Oz,-0.44514566065003636,True
Fz,-1.088682407680026,True
C3,-1.5104988834757698,True
C4,-1.1409205536866152,True
P3,-1.0357026540266403,True
P4,-0.7859897426896691,True
Cz,-1.9860111043865938,True
Pz,-1.8688918994284114,True
Oz,-0.5171809784606526,True
Fz,-1.5127334066922973,True
C3,-2.6086000969173653,True
C4,-1.9230942716894353,True
P3,-1.1441010787702923,True
P4,-0.9428125532420077,True
Cz,-1.9011918179185583,True
Pz,-1.1603734726093624,True
Oz,-0.13149759182779466,True
Fz,-0.9710886858026493,True
C3,-2.293799323127355,True
C4,-1.2425582342294685,True
P3,-0.7142311415038252,True
P4,-0.583651667124346,True
Cz,-2.2477916698403053,True
Pz,-1.5116437155051152,True
Oz,-0.206002263200002,True
Fz,-0.8823996378680795,True
C3,-1.8925634543679255,True
C4,-1.2502999450439547,True
P3,-0.545506213940985,True
P4,-0.51083525813787,True
Cz,-1.788773358157752,True
Pz,-1.1306357410451007,True
Oz,-0.33585560714246554,True
Fz,-0.9594600723656646,True
C3,-2.107416650490653,True
C4,-1.514413103835202,True
P3,-0.753685706975135,True
P4,-0.3018720678182338,True
Cz,-1.9026660709727996,True
Pz,-1.3905252650345064,True
Oz,-0.1624357217390449,True
Fz,-0.9173768790117043,True
C3,-2.278853768156406,True
C4,-1.326254514201298,True
P3,-0.8240319590214721,True
P4,-0.26633051587852674,True
Cz,-1.6852671269250183,True
Pz,-1.0711801917762058,True
Oz,-0.11554578939939618,True
Fz,-0.7608571336260831,True
C3,-1.7975871358228412,True
C4,-1.3502690501852668,True
P3,-0.7921519215712106,True
P4,-0.4900245708762454,True
Cz,-1.8045788715807618,True
Pz,-1.2631140641045613,True
Oz,0.3054433680490416,True
Fz,-0.582219302894337,True
C3,-1.9793118250079151,True
C4,-0.9291279684527917,True
P3,-0.4004990803422338,True
P4,-0.5004959602389919,True
Cz,-2.1902767997125356,True
Pz,-1.720136689190158,True
Oz,-0.35424751133063676,True
Fz,-1.5244579182508486,True
C3,-1.7749618904998123,True
C4,-1.470286653920799,True
P3,-0.9497071583508946,True
P4,-0.8760933880888915,True
Cz,-1.4964901307873324,True
Pz,-1.2207189024239546,True
Oz,-0.42108165346046195,True
Fz,-1.0638361707063682,True
C3,-1.5217024176999463,True
C4,-1.5892250761022606,True
P3,-0.7048892339188152,True
P4,-0.8255822612267891,True
Cz,-1.7087136518632555,True
Pz,-1.2979186568037036,True
Oz,-0.21189828712028444,True
Fz,-0.890005157211597,True
C3,-1.4141249723208638,True
C4,-0.8794891003651871,True
P3,-0.849619869696034,True
P4,-0.24089515459984687,True
Cz,-1.9653367131097301,True
Pz,-1.248556591386676,True
Oz,-0.14528332845994277,True
Fz,-1.1605760202185955,True
C3,-1.6038524470374733,True
C4,-1.1571199566847539,True
P3,-0.9093807747004273,True
P4,-0.6306130012658214,True
Cz,-1.9539198508329423,True
Pz,-1.276009176022355,True
Oz,-0.27107301119487576,True
Fz,-1.1566690629391216,True
C3,-1.7632646058737094,True
C4,-1.3076288900307924,True
P3,-0.9591245994171289,True
P4,-0.32273291230859763,True
Cz,-1.6464851768423472,True
Pz,-1.5626638201449903,True
Oz,-0.1505143712467061,True
Fz,-1.0108850183008418,True
C3,-1.0813063503696254,True
C4,-0.79201274888916,True
P3,-0.9946948000207977,True
P4,-0.7762779983959196,True
Cz,-2.051255342759429,True
Pz,-1.2562207136776278,True
Oz,-0.24717799028497392,True
Fz,-0.9279079942532336,True
C3,-1.665393125443911,True
C4,-1.4132948281618842,True
P3,-0.7742160880822958,True
P4,-0.7368376118721949,True
Cz,-1.8383766842998317,True
Pz,-1.5248860194110374,True
Oz,-0.5409005573369113,True
Fz,-1.1898875758892749,True
C3,-0.07163500574368317,True
C4,-0.5265899038992884,True
P3,-0.9071223852632148,True
P4,-0.9017957546585424,True
Cz,-1.9936643405167194,True
Pz,-0.9731652730693557,True
Oz,-0.46602785228573385,True
Fz,-1.1544565329958005,True
C3,-2.033410141091057,True
C4,-1.7277047305757263,True
P3,-0.9229569871638944,True
P4,-0.9371514557784085,True
Cz,-1.8104190705394372,True
Pz,-1.3256428875806436,True
Oz,-0.3441971414610257,True
Fz,-1.1247302726548962,True
C3,-1.944448465258447,True
C4,-1.4058447051724299,True
P3,-1.0566383661060432,True
P4,-0.47989776915279,True
