Channel,Value,Mask
Cz,-1.3470226544864696,True
Pz,-0.9769663180043091,True
Oz,-0.9919137437155636,True
Fz,-1.3271832016656973,True
C3,-1.7448244925392389,True
C4,-1.4156265831108152,True
P3,-0.997610714758017,True
P4,-1.3522516477852966,True
Cz,-1.6677521137625424,True
Pz,-0.8144964587217166,True
Oz,-0.5232575125200469,True
Fz,-1.0156644460328004,True
C3,-1.791810754671627,True
C4,-0.8096609750497938,True
P3,-1.0043485397597092,True
P4,-0.975180845093395,True
Cz,-1.198022278902329,True
Pz,-0.5957192918666671,True
Oz,-0.11676164651266628,True
Fz,-0.6234072718514471,True
C3,-1.5475307213907739,True
C4,-0.911019782533534,True
P3,-0.6983992046680979,True
P4,-0.9276580151059699,True
Cz,-0.866564868577192,True
Pz,-1.0815339119016074,True
Oz,-0.6144443427091996,True
Fz,-1.316509742659728,True
C3,-2.25588811649238,True
C4,-1.1000930127903672,True
P3,-1.7794493591001228,True
P4,-1.1118680551297422,True
Cz,-1.2449816491796122,True
Pz,-0.8937119983122037,True
Oz,-0.9806446659125861,True
Fz,-1.0798084019209688,True
C3,-1.4636155924403942,True
C4,-0.7345100311957127,True
P3,-0.7875038766717438,True
P4,-1.1729464810633305,True
Cz,-0.959434253571618,True
Pz,0.04156360783086848,True
Oz,-0.5482192800705449,True
Fz,-1.0885290160110366,True
C3,-1.3444057357478743,True
C4,-0.9282419974036107,True
P3,-0.693783472377861,True
P4,-0.8055847523932207,True
Cz,-1.289349198230402,True
Pz,-0.7996101579930822,True
Oz,-0.7628105509313303,True
Fz,-1.296598781312504,True
C3,-1.6005306212511097,True
C4,-1.425759794614838,False
P3,-1.0888213327447784,True
P4,-1.25544122178289,True
Cz,-1.1860820717363396,True
Pz,-0.37282507296020717,True
Oz,-0.24767874528772524,True
Fz,-0.6866884143098414,True
C3,-1.6832213877666111,True
C4,-0.6602192089205117,True
P3,-0.659382965964413,True
P4,-0.4956046574589632,True
Cz,-1.27450635340182,True
Pz,-1.4284936044403478,True
Oz,-0.6054742721181141,True
Fz,-1.3582771348836455,True
C3,-2.024618755974574,True
C4,-0.6956774220987278,True
P3,-1.5191951996455515,True
P4,-1.1148629079742791,True
Cz,-0.8891408334362472,True
Pz,-0.8433004190121967,True
Oz,-0.22557861641476026,True
Fz,-1.2837074132803667,True
C3,-1.9172170518247689,True
C4,-0.32108907597470066,True
P3,-1.0076515310806864,True
P4,-1.4297067438815465,True
Cz,-1.0546352133987587,True
Pz,-1.0836107553741074,True
Oz,-0.513952614584927,True
Fz,-1.3485349994306421,True
C3,-1.487744404147455,True
C4,-0.5227537085221047,True
P3,-1.4729757014620917,True
P4,-2.1624676430457384,True
Cz,-1.347590332030868,True
Pz,-1.2938726853663054,True
Oz,-0.8430423491606044,True
Fz,-1.5352245582503523,True
C3,-2.376920657300424,True
C4,-1.1080137838543116,True
P3,-1.549684732793211,True
P4,-1.8892182128054813,True
Cz,-1.1991310020815098,True
Pz,-1.1173941529702938,True
Oz,-1.1926560101216284,True
Fz,-2.157856315263665,False
C3,-2.6821096159925313,True
C4,-1.4381405060615087,False
P3,-1.9510823363375036,True
P4,-1.941083081616634,True
Cz,-1.772079282133275,True
Pz,-1.1085619842337986,True
Oz,-0.9596405813935824,True
Fz,-1.4609029614364883,True
C3,-2.1540962416726614,True
C4,-1.0172870559477611,True
P3,-1.7733467903282134,True
P4,-1.5234557777736841,True
Cz,-0.8711675653099624,True
Pz,-0.3289458730246369,True
Oz,0.1398391831817478,True
Fz,-0.5536446091464747,True
C3,-1.3234605536998751,True
C4,-0.7982911182142423,True
P3,-0.5299366996537519,True
P4,-0.5478231887108334,True
Cz,-1.4889590236988928,True
Pz,-0.916203309376049,True
Oz,-0.7990598146194989,True
Fz,-1.2052516223718748,True
C3,-1.7732114471193097,True
C4,-0.9128954210484544,True
P3,-1.2752349924288182,True
P4,-1.6727149778181485,True
Cz,-1.121024473008436,True
Pz,0.5499783118150074,False
Oz,0.2522050406546099,True
Fz,0.10124075815575403,False
C3,-0.444228688442362,False
C4,-0.7674416552337657,True
P3,-0.02855846930718835,True
P4,0.9168812193539736,False
Cz,-1.931265141247125,False
Pz,-1.197560267049339,True
Oz,-0.7088398510509935,True
Fz,-1.480106398364606,True
C3,-1.7182632671198967,True
C4,-0.8029366824342989,True
P3,-1.3299894580077347,True
P4,-1.2497715628764352,True
Cz,-1.1249361318286366,True
Pz,-0.6617838375822855,True
Oz,-0.2795401268676497,True
Fz,-1.176311468437195,True
C3,-1.7450980429086367,True
C4,-0.8408785225227768,True
P3,-1.1175717351400538,True
P4,-1.3463140511824179,True
Cz,-1.3478606002326825,True
Pz,-1.1225678079832953,True
Oz,-0.9187944073480555,True
Fz,-1.2673290241210198,True
C3,-1.8214059172192276,True
C4,-0.8091178870148115,True
P3,-0.6566999527719574,True
P4,-1.6370920310288624,True
Cz,-0.3386479177948594,False
Pz,1.1618265370826746,False
Oz,1.5297766431197366,False
Fz,1.1083923340488642,False
C3,-0.3548264671448463,False
C4,-0.5458289306389387,True
P3,0.9697448528502439,False
P4,1.8051758960442927,False
Cz,-1.5201313947664368,True
Pz,-1.1142011812142387,True
Oz,0.032574961645038834,True
Fz,-0.9794894586296905,True
C3,-1.9045187351509525,True
C4,-0.7802110985925872,True
P3,-0.8788781547517535,True
P4,-1.052623812057323,True
Cz,-1.0980416449731718,True
Pz,-0.8984802955579955,True
Oz,-0.44433738853367644,True
Fz,-1.2353582772631728,True
C3,-2.1276549283886457,True
C4,-0.8040286785103531,True
P3,-0.890422770105121,True
P4,-1.1919155906765648,True
Cz,-1.4277918902802655,True
Pz,-1.233197427814361,True
Oz,-0.8540401621206735,True
Fz,-1.2066286199548224,True
C3,-1.9522452187732784,True
C4,-1.1130332109950418,True
P3,-0.8663532976836558,True
P4,-1.457152803895303,True
Cz,-0.9500005650664133,True
Pz,0.054163489113481005,True
Oz,-0.323731178243827,True
Fz,-0.9475126449332796,True
C3,-1.2890966195123061,True
C4,-0.6003583974801459,True
P3,-0.5876306160818756,True
P4,-0.8397538736856541,True
Cz,-0.3309632602893924,False
Pz,1.7405031083438558,False
Oz,1.268131053915888,False
Fz,0.9301378037444601,False
C3,-0.36901230367785215,False
C4,-0.4724710524656496,True
P3,2.1021945041928674,False
P4,0.7903619814826498,False
Cz,-1.3539403292144174,True
Pz,-0.9954193413131911,True
Oz,-0.5619042027600515,True
Fz,-1.2015043439128286,True
C3,-1.3261373907363854,True
C4,-0.6448510266429729,True
P3,-1.2354565882064814,True
P4,-1.102271142511381,True
Cz,-1.1985027078069375,True
Pz,-1.1656536102652173,True
Oz,-0.8392590635707319,True
Fz,-1.390393609838561,True
C3,-1.810603147961534,True
C4,-0.5991172563529837,True
P3,-1.1760044559057559,True
P4,-1.2354508102910973,True
