dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,C2,central,right,0.2857084151362541,-1.2527835157295715,1_C2
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,C2,central,right,0.2857084151362541,-1.2527835157295715,1_C2
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,C2,central,right,0.2857084151362541,-1.2527835157295715,1_C2
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,C2,central,right,1.1667989198356887,0.1542640332616768,1_C2
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,C2,central,right,1.1667989198356887,0.1542640332616768,1_C2
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,C2,central,right,0.27456057818134066,-1.2925833568377993,1_C2
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,C2,central,right,0.5935600556700374,-0.5216168810541398,1_C2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C2,central,right,3.4331531047462476,1.2334791114264056,1_C2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C2,central,right,3.4331531047462476,1.2334791114264056,1_C2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C2,central,right,3.4331531047462476,1.2334791114264056,1_C2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C2,central,right,3.4331531047462476,1.2334791114264056,1_C2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C2,central,right,3.4331531047462476,1.2334791114264056,1_C2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C2,central,right,3.4331531047462476,1.2334791114264056,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C2,central,right,2.2639457317808565,0.8171091899921908,1_C2
