channel,mean,std,count,sem,z,p_uncorrected,p_fdr,significant
P8,-0.07334679971939506,0.7133727536406086,50,0.10088614232259893,-0.7270255163970628,0.4672103247452406,0.9892307401572299,False
P9,-0.03235123143387602,0.6967616291747752,50,0.09853697457201403,-0.3283156558681704,0.7426730079899027,0.9892307401572299,False
PO3,-0.05893627420392491,0.723677922564124,50,0.10234351328801705,-0.5758672172809363,0.56470493562832,0.9892307401572299,False
PO4,-0.07858963966263442,0.7148800710027055,50,0.10109930918822671,-0.777350906684399,0.4369517683969284,0.9892307401572299,False
PO7,-0.01292980161494347,0.6990450310692187,50,0.09885989636476106,-0.13078914798005334,0.8959421079088352,0.9892307401572299,False
PO8,-0.08494620587341563,0.7375885188625668,50,0.10431076868261253,-0.814357011708756,0.4154404579321578,0.9892307401572299,False
POz,-0.060108470883812375,0.6907925480691748,50,0.09769281902656951,-0.6152803397705687,0.5383695989444826,0.9892307401572299,False
Pz,-0.10454501772867437,0.7799112377494449,50,0.11029610498724524,-0.9478577483834454,0.34320187702530647,0.9892307401572299,False
T7,0.06679049044570362,0.7012744312188434,50,0.09917518115751664,0.6734597271833818,0.5006548617027058,0.9892307401572299,False
T8,0.08488748231408788,0.6529233977537624,50,0.09233731242940936,0.9193193962514691,0.35792853544740577,0.9892307401572299,False
TP7,0.11074334191610587,0.6990551745364078,50,0.0988613308676479,1.1201886616756676,0.2626333746146896,0.9892307401572299,False
TP8,0.056623338636602426,0.680363637344301,50,0.09621794832778005,0.5884903972770965,0.5562031774848257,0.9892307401572299,False
