channel,mean,std,count,sem,z,p_uncorrected,p_fdr,significant
AF3,0.013846445831408394,0.6535710379783576,50,0.09242890258832544,0.14980645061945502,0.8809173199355129,0.9892307401572299,False
AF4,0.0170843924115665,0.6590831277655388,50,0.09320842980173043,0.18329235293318208,0.8545686342330401,0.9892307401572299,False
AF7,-0.034476671877346904,0.6305045472941765,50,0.08916680819213328,-0.3866536503477602,0.6990126339124705,0.9892307401572299,False
AF8,-0.03987950016890238,0.5612700277763465,50,0.0793755685434833,-0.5024153010892226,0.6153754180744493,0.9892307401572299,False
AFz,0.015005355404088837,0.6879456660239411,50,0.09729020910668493,0.15423294432057913,0.8774260671480931,0.9892307401572299,False
C1,-0.02437075289320735,0.73319790565701,50,0.10368984220836926,-0.23503510444382064,0.8141814868657689,0.9892307401572299,False
C2,0.006917292459989206,0.6798647409611094,50,0.09614739372464719,0.07194466944990077,0.942645941050223,0.9892307401572299,False
C3,0.02702329433288546,0.6928309108011657,50,0.09798108704863125,0.27580112802252243,0.7827008172681158,0.9892307401572299,False
C4,0.010752833944952585,0.6488978985473652,50,0.09176802087210846,0.11717408573012769,0.9067221020282374,0.9892307401572299,False
C5,0.0973843021508741,0.772626382619693,50,0.10926587089480339,0.8912600188272113,0.3727896923098042,0.9892307401572299,False
C6,0.046083880164796795,0.5983401530596969,50,0.08461807593694169,0.5446103525107212,0.5860215330968559,0.9892307401572299,False
CP1,-0.0645860623214668,0.7556995934519437,50,0.10687206141395729,-0.6043306498159488,0.5456238328100649,0.9892307401572299,False
CP2,-0.06583573841417417,0.7581796257180267,50,0.10722279094053903,-0.614008811342019,0.5392095046004444,0.9892307401572299,False
CP3,-0.008441415579592125,0.6714503837261422,50,0.09495742391261291,-0.08889684694227343,0.929163889408174,0.9892307401572299,False
CP4,-0.05987776790426644,0.6626380332629539,50,0.09371116935847035,-0.6389608444135183,0.5228484044998924,0.9892307401572299,False
CP5,0.10198036580461248,0.6620271835811548,50,0.09362478216801318,1.0892454267247842,0.2760456714479167,0.9892307401572299,False
CP6,0.03310443304217871,0.613274236789416,50,0.0867300743121601,0.3816949691871446,0.7026876320807731,0.9892307401572299,False
CPz,-0.04015287101492174,0.7765135225816608,50,0.10981559550010914,-0.36563905911598715,0.7146344253610861,0.9892307401572299,False
Cz,0.03821356631946929,0.7189993348359829,50,0.1016818610662281,0.37581497740860365,0.7070544523288,0.9892307401572299,False
F1,0.0483962738107264,0.6717473735876235,50,0.09499942462161233,0.5094375466324274,0.6104455639893982,0.9892307401572299,False
F2,0.036916187552337346,0.6400933765371715,50,0.0905228734284056,0.4078106024941232,0.6834127290333432,0.9892307401572299,False
F3,0.0177227911533022,0.6522059937014038,50,0.09223585617535465,0.19214643727715203,0.8476275008648986,0.9892307401572299,False
F4,0.04293193767851337,0.6039106515186055,50,0.08540586338391838,0.5026813848309775,0.6151882995373044,0.9892307401572299,False
F5,0.04072038145043514,0.6624142601647438,50,0.09367952306343205,0.43467750602084787,0.6637965279918141,0.9892307401572299,False
F6,2.4763151294147078e-05,0.5412768360592282,50,0.07654810425533588,0.0003234979041616296,0.9997418860213194,0.9997418860213194,False
F7,0.03222352644193599,0.6102987876125802,50,0.0863092822541568,0.37334948918989597,0.7088883477557104,0.9892307401572299,False
F8,0.01917603761519265,0.5852185438613752,50,0.08276240016809908,0.23169987308541215,0.8167711299644993,0.9892307401572299,False
FC1,0.04851947165937762,0.6820472372318167,50,0.09645604530723349,0.503021573244399,0.6149491046948947,0.9892307401572299,False
FC2,0.037274459874237074,0.6550825789511133,50,0.09264266676270082,0.40234657719551176,0.6874289806253238,0.9892307401572299,False
