Channel,Value,Mask
Cz,-2.5235763481876816,True
Pz,-0.539962557050577,True
Oz,0.26733771678834867,True
Fz,-0.807986296975797,True
C3,-2.0035376621376257,True
C4,-0.8084251167961908,True
P3,-1.7985657728973419,True
P4,-0.9004928866234734,True
Cz,-2.673326241056635,True
Pz,-1.1645145126263152,True
Oz,-0.2539409435696425,True
Fz,-1.0877877591336031,True
C3,-2.2262420033042916,True
C4,-1.5232515960411326,True
P3,-2.0649353153845933,True
P4,-1.5831786919874595,True
Cz,-2.0524718898152985,True
Pz,-1.1177083621740898,True
Oz,-0.21472973006855056,True
Fz,-0.8482673456190704,True
C3,-1.8719976647466081,True
C4,-1.5870189640796017,True
P3,-1.7387254007164845,True
P4,-1.2891971087938898,True
Cz,-1.904364332303543,True
Pz,-1.11106581008602,True
Oz,-0.3819277633766825,True
Fz,-0.8956575648761798,True
C3,-1.8255848078887336,True
C4,-1.5849370425401181,True
P3,-1.630872612296315,True
P4,-1.5598374208132118,True
Cz,-2.313269758208472,True
Pz,-1.0678172821980227,True
Oz,-0.267526113995821,True
Fz,-0.7878149318501239,True
C3,-1.9531708236768857,True
C4,-1.5564921337213342,True
P3,-1.6529307356546155,True
P4,-1.389620888622706,True
Cz,-1.9463103337226677,True
Pz,-1.300247974404876,True
Oz,-0.33229327693740696,True
Fz,-1.1270888323446178,True
C3,-1.9312928517292698,True
C4,-1.5157831353136502,True
P3,-1.8379576118971739,True
P4,-1.5847473223489013,True
Cz,-2.012060840980124,True
Pz,-0.9258717572679428,True
Oz,-0.1640257305440679,True
Fz,-0.7942455058615745,True
C3,-2.231490686602221,True
C4,-1.2993998416963042,True
P3,-1.744523679811798,True
P4,-1.1362906604680465,True
Cz,-2.046765543905115,True
Pz,-1.2530045222198896,True
Oz,-0.6427146306794871,True
Fz,-1.0465861482211491,True
C3,-1.9140693581633568,True
C4,-1.0417320022799739,True
P3,-1.9774363853312016,True
P4,-1.2074745354593726,True
Cz,-2.3107766485521615,True
Pz,-1.063721156551947,True
Oz,-0.23807333616192203,True
Fz,-1.1523141155545822,True
C3,-1.9075107512151082,True
C4,-1.506166983435703,True
P3,-1.7079489515862674,True
P4,-1.5000716270468473,True
Cz,-1.9111458382979802,True
Pz,-0.9911197943502594,True
Oz,0.027435162427561388,True
Fz,-0.6515898100586132,True
C3,-1.9921804964251495,True
C4,-1.1352554672041846,True
P3,-1.5071016476174275,True
P4,-1.1454854985493048,True
Cz,-1.8664306017987866,True
Pz,-1.0468106073109347,True
Oz,-0.15199886678101224,True
Fz,-0.9752677369311921,True
C3,-2.103193345485189,True
C4,-1.6722383184942997,True
P3,-1.9656912875448151,True
P4,-1.3791847480887447,True
Cz,-2.227629232510677,True
Pz,-1.4710132203897448,True
Oz,-0.6684259517480383,True
Fz,-1.1672635247540233,True
C3,-1.795879271946691,True
C4,-0.4406448501483318,True
P3,-2.1124277371346003,True
P4,-1.3870828875723145,True
Cz,-2.025871099198923,True
Pz,-1.4295663509514644,True
Oz,-0.9749675295540385,False
Fz,-1.001592468466939,True
C3,-2.2549297217169455,True
C4,-1.7851860949655742,True
P3,-1.8745028843081213,True
P4,-1.8160543653764885,True
Cz,-1.9919717395131498,True
Pz,-0.915813783291118,True
Oz,0.19214501980444626,True
Fz,-0.8718404359555444,True
C3,-1.6366214915798458,True
C4,-1.4992166198618477,True
P3,-1.4850466255551522,True
P4,-1.16100020102224,True
Cz,-2.197163486143566,True
Pz,-1.3944350877583616,True
Oz,-0.3956688961764826,True
Fz,-0.9623514061028096,True
C3,-1.90261356015271,True
C4,-1.337509244423274,True
P3,-2.2087617235388084,True
P4,-1.5181180740430293,True
Cz,-2.1273707743055943,True
Pz,-1.1394395449435202,True
Oz,-0.20752142199086343,True
Fz,-0.8794463714420777,True
C3,-1.6464679382228304,True
C4,-1.0668071530568994,True
P3,-1.900849039125316,True
P4,-1.2751027016712146,True
Cz,-1.8732821867289733,True
Pz,-0.9490567854843507,True
Oz,0.12562016164210524,True
Fz,-0.5088217896205706,True
C3,-1.9482388315118861,True
C4,-1.2292303050395967,True
P3,-1.7162702762788309,True
P4,-1.1482993556756371,True
Cz,-1.2600192625415614,True
Pz,-1.193150769722066,True
Oz,0.322535406064499,True
Fz,-0.6208915668076602,True
C3,-1.2485070407345276,True
C4,-1.4997083400401536,True
P3,-1.5222398284258256,True
P4,-0.887955571935927,True
Cz,-2.446969104086617,True
Pz,-0.8606863320118698,True
Oz,-0.1667640672032824,True
Fz,-1.03472619674737,True
C3,-2.0293408703836273,True
C4,-2.217934330571305,True
P3,-1.7863888636782759,True
P4,-1.0084402780347055,True
Cz,-1.970188246118111,True
Pz,-1.1279759199441242,True
Oz,-0.14178735630517864,True
Fz,-0.709630053857292,True
C3,-1.7391503423820576,True
C4,-1.7785439115634272,True
