Channel,Value,Mask
Cz,0.5993488457427939,True
Pz,0.48711373410590353,True
Oz,1.914525053882768,True
Fz,1.1905505627544735,True
C3,0.02671599687833877,True
C4,0.1674089717096732,True
P3,1.1376511984784667,True
P4,1.7330787166672883,True
Cz,0.45683601801978496,True
Pz,-0.5313273087592669,True
Oz,1.2220926688718265,True
Fz,0.8106396258581159,True
C3,-0.45964697215641714,True
C4,-0.18013273506776495,True
P3,-0.31986684567323537,True
P4,0.60242956431591,True
Cz,0.6280632315076548,True
Pz,0.12825793111436237,True
Oz,1.9064757490289321,True
Fz,0.9619093258778484,True
C3,0.09803954830306849,True
C4,0.15474056024967867,True
P3,0.36274163597756065,True
P4,0.8241205781382543,True
Cz,0.6688388438691879,True
Pz,0.08172515258312957,True
Oz,1.764982306707839,True
Fz,1.246207907329702,True
C3,-0.28914631677518043,True
C4,0.19306893037042605,True
P3,0.3978430848989072,True
P4,0.7048253765282254,True
Cz,0.7128631053801465,True
Pz,-0.02253620304502991,True
Oz,1.6816343354268353,True
Fz,0.981969572784654,True
C3,0.0012205609665068265,True
C4,0.4615173812515154,True
P3,0.4198188588026507,True
P4,0.5591555855205093,True
Cz,0.3000999477410488,True
Pz,-0.275707719987659,True
Oz,1.4451644882145087,True
Fz,0.23453527964126392,True
C3,-0.8368700823449722,True
C4,0.046298660207721845,True
P3,-0.2518535382736224,True
P4,0.06656731544413576,True
Cz,1.3494688599963651,True
Pz,0.9288235270370196,True
Oz,2.463724582601094,True
Fz,1.5650551993287292,True
C3,0.525543114617218,True
C4,0.9996816614668692,True
P3,1.3556692775869437,True
P4,1.691180067013032,True
Cz,1.0074143277848926,True
Pz,0.8409298403881125,True
Oz,2.1298182132111507,True
Fz,1.9717962291009554,True
C3,0.515479398391362,True
C4,0.9863208232416474,True
P3,0.9471807253600674,True
P4,1.7394110162327243,True
Cz,0.9741254632633666,True
Pz,-0.03371815087859163,True
Oz,1.6973264952536398,True
Fz,1.1358356680314368,True
C3,0.15566971129999485,True
C4,0.39793752429667445,True
P3,0.4744878133100685,True
P4,0.9370135474520521,True
Cz,1.1649462170385456,True
Pz,1.4058230882015077,True
Oz,2.4839110474029176,True
Fz,1.7970383333206048,True
C3,0.4219529198464087,True
C4,0.7746118422903978,True
P3,1.6469237820829683,True
P4,2.1268899411564335,True
Cz,2.114575096192909,True
Pz,2.336519177311699,True
Oz,3.0697432998780663,True
Fz,2.407078696815361,True
C3,1.2023439139605254,True
C4,1.4772706576435106,True
P3,2.139492873603825,True
P4,2.9283711266189414,True
Cz,1.0631303261810057,True
Pz,1.5855085791381316,True
Oz,2.546434948390453,True
Fz,2.0198715109102032,True
C3,0.24191520288706497,True
C4,0.9363029700716329,True
P3,2.0188660149196327,True
P4,2.2665943069304215,True
Cz,1.3884748978501085,True
Pz,1.3148532673692424,True
Oz,2.273772013935493,True
Fz,2.2254360486257276,True
C3,0.6434392147150152,True
C4,0.95851119448729,True
