Channel,Value,Mask
Cz,0.9176892136004005,True
Pz,0.8587436042217527,False
Oz,2.6700816141494896,True
Fz,1.5792512753332537,True
C3,0.9528169668277258,True
C4,0.9719595076053638,True
P3,1.7980203821980738,True
P4,1.2518083558787365,True
Cz,1.2701881266642876,True
Pz,1.6955447627924731,True
Oz,3.0364003208290415,True
Fz,1.9297544327106995,True
C3,0.4700140677561515,True
C4,1.2678415870412745,True
P3,1.8253548470227388,True
P4,1.9114837211219493,True
Cz,1.140130110056611,True
Pz,1.5214791648304806,True
Oz,3.170334082685127,True
Fz,1.687701550168998,True
C3,0.8562886489198684,True
C4,0.6518911414194478,True
P3,1.0552303963339034,True
P4,1.9766100636124446,True
Cz,0.7276072506627953,True
Pz,2.275998553504373,True
Oz,3.1036782147044377,True
Fz,2.046968544991029,True
C3,0.5875597803288194,True
C4,0.596525872878095,True
P3,2.1093724611162914,True
P4,2.3579760876538414,True
Cz,1.0029621792832941,True
Pz,2.4680637022310794,True
Oz,3.097769072028129,True
Fz,2.1913917211816707,True
C3,0.9247951093449046,True
C4,0.8846771708235343,True
P3,2.6971206330891615,True
P4,2.310109202639212,True
Cz,1.3065386275487085,True
Pz,2.146819507795978,True
Oz,2.6707072317445695,True
Fz,1.9704618950751682,True
C3,1.351624436674389,True
C4,1.4122064952055853,True
P3,2.2385278509266326,True
P4,2.2471542040040995,True
Cz,1.7128285442594788,True
Pz,2.205198417092037,True
Oz,3.1986291957527433,True
Fz,2.385396854005348,True
C3,0.9509481363599206,True
C4,1.4455472146293218,True
P3,2.273508159828754,True
P4,2.55487130694244,True
Cz,1.2213769642399221,True
Pz,1.94431999547434,True
Oz,3.140407395483887,True
Fz,2.142668098268904,True
C3,1.1065502236113547,True
C4,1.4308061261823297,True
P3,2.01094661444304,True
P4,2.4522853243506018,True
Cz,1.2597040400657598,True
Pz,2.3819374945474117,True
Oz,3.458123754921147,True
Fz,2.245531977782599,True
C3,0.782620403675497,True
C4,1.5622147860535276,True
P3,2.319764285805485,True
P4,2.6152223208367795,True
Cz,1.7218182469222478,True
Pz,2.3383575360230573,True
Oz,2.9935084281767836,True
Fz,1.841495495401072,True
C3,1.0217620699624277,True
C4,1.7268913297908215,True
P3,2.1700158965141636,True
P4,2.307454750931704,True
Cz,1.9097473970115086,True
Pz,2.6103248817058904,True
Oz,3.0049878237432215,True
Fz,2.196558376206918,True
C3,1.7152271667971166,True
C4,1.7939711066508226,True
P3,2.37617865329679,True
P4,2.6980674990868496,True
Cz,1.9521237414162234,True
Pz,3.0198557680475915,True
Oz,3.1368858022453976,True
Fz,2.9760648056572445,False
C3,1.8303174001612341,True
C4,2.2458374008388726,True
P3,2.81027655376088,True
P4,2.891087472675402,True
Cz,1.3465738038400392,True
Pz,2.568306389828488,True
Oz,3.2881187841274264,True
Fz,2.4044827445610553,True
C3,1.4588255585468748,True
C4,1.2517698526182748,True
P3,2.6571733412681495,True
P4,2.540444265969233,True
Cz,2.085627675169639,True
Pz,2.3626103029690166,True
Oz,3.1368202988458096,True
Fz,2.2636396714301985,True
C3,1.5517452755805807,True
C4,1.5833164148169938,True
P3,2.3416786150472317,True
P4,2.0174031317731975,True
Cz,1.3449929337677418,True
Pz,2.391738112450056,True
Oz,3.195437137638497,True
Fz,2.0944144341521813,True
C3,1.0182674837069248,True
C4,1.702534327239081,True
P3,2.513373858616361,True
P4,2.4389578556089737,True
Cz,1.7490970343315797,True
Pz,2.712720908920501,True
Oz,2.900461797796916,True
Fz,2.189856498887824,True
C3,1.3548797775274624,True
C4,1.8597707708022193,True
P3,2.5786678620551844,True
P4,2.499169190720927,True
Cz,1.7568825971387128,True
Pz,2.2357267590430507,True
Oz,2.878875766253413,True
Fz,2.063529488129906,True
C3,1.4480027780309621,True
C4,0.9986654559233022,True
P3,2.079616885322311,True
P4,2.1958218287534903,True
Cz,2.256245534134254,True
Pz,2.3928651365319555,True
Oz,3.101315989541357,True
Fz,2.5422996702698546,True
C3,1.481749384088546,True
C4,1.754026677320452,True
P3,2.4229067023266126,True
P4,2.554553854342655,True
Cz,2.0547387879027745,True
Pz,2.146436649024355,True
Oz,3.1207331630825927,True
Fz,2.162874467732257,True
C3,1.5138149951380888,True
C4,2.2237839615940556,True
P3,1.7991187861355074,True
P4,2.5189216234354763,True
Cz,1.1488193462373553,True
Pz,2.1083889462433825,True
Oz,3.2408934521657344,True
Fz,2.195964923206698,True
C3,0.6914174054212078,True
C4,1.242597891285334,True
P3,2.028445789494228,True
P4,2.6185298488784934,True
Cz,1.1953349331830379,True
Pz,2.5711081347559133,True
Oz,2.780296808597244,True
Fz,2.4132678581605855,True
C3,2.0745924136555964,True
C4,2.095645117664579,True
P3,2.625782638199208,True
P4,2.745373876376938,True
Cz,1.6113364728234674,True
Pz,1.9598441223917358,True
Oz,3.207743110717751,True
Fz,2.367603122199535,True
C3,1.2538837012402704,True
C4,1.5942174344007256,True
P3,2.1661211602960715,True
P4,1.8239218287843066,True
Cz,1.8309698802528103,True
Pz,2.3692676788716485,True
Oz,2.9561777328910517,True
Fz,2.9652529224397384,False
C3,1.7088361386723563,True
C4,2.2670073174720864,True
P3,2.438419359492151,True
P4,2.261512492328296,True
Cz,1.405911245906089,True
Pz,2.248608311518328,True
Oz,3.2754931789690063,True
Fz,2.3121450738456137,True
C3,1.7317150411847677,True
C4,1.1552251328773024,True
P3,2.247189423468177,True
P4,2.534826308778786,True
Cz,1.995431220024977,True
Pz,2.5628445759333447,True
Oz,3.2880085083382733,True
Fz,2.550346882875639,True
C3,0.8225173425908023,True
C4,1.67050363169918,True
P3,2.613324316545387,True
P4,2.625639711672885,True
Cz,1.3949388615110372,True
Pz,1.5755833052705939,True
Oz,3.177673212508753,True
Fz,2.131459494470734,True
C3,1.1516124330935147,True
C4,1.1833959300385506,True
