channel,mean,std,count,sem,z,p_uncorrected,p_fdr,significant
AF3,0.033586513675371486,0.36499643928493636,30,0.06663892773514148,0.5040074145379732,0.6142561666623039,0.9996030454813589,False
AF4,0.0214707704813701,0.3775051445931091,30,0.06892269442263174,0.3115196041192474,0.7554056418733675,0.9996030454813589,False
AF7,0.029506590989161023,0.33706750928463086,30,0.06153982607909145,0.4794714718764224,0.6316032585705771,0.9996030454813589,False
AF8,0.03358067691143145,0.3535263517953026,30,0.06454478585026474,0.5202693985124395,0.6028758215183823,0.9996030454813589,False
AFz,0.012486395916810243,0.37157581284808344,30,0.06784015150673774,0.18405613253340275,0.8539694196458747,0.9996030454813589,False
C1,-3.1921080549869585e-05,0.3514289257948607,30,0.06416185000588477,-0.0004975087306077032,0.9996030454813589,0.9996030454813589,False
C2,-0.02165891203137679,0.2853146106005439,30,0.05209108273724016,-0.41578924632128506,0.6775642285170531,0.9996030454813589,False
C3,-0.01142257908758436,0.3407029086562045,30,0.062203556159541776,-0.18363225180064216,0.8543019600675412,0.9996030454813589,False
C4,0.0005726655352865079,0.2946860323584021,30,0.05380206243479804,0.010643932767085149,0.9915075307358732,0.9996030454813589,False
C5,-0.04945084200793927,0.267534211413393,30,0.048844840831823805,-1.0124066567890346,0.31134365682147,0.9996030454813589,False
C6,-0.031839449121624765,0.23810270060612568,30,0.04347140670829134,-0.732422793108096,0.46391055093923805,0.9996030454813589,False
CP1,-0.026282686420458574,0.33274932706717136,30,0.06075143747645136,-0.43262657662456694,0.665286078665257,0.9996030454813589,False
CP2,-0.03150465477464513,0.29206533658758516,30,0.05332359103811977,-0.5908202009898996,0.5546408982006479,0.9996030454813589,False
CP3,0.021205660991842224,0.3192168000045967,30,0.058280747365710935,0.36385362148458694,0.7159673188605853,0.9996030454813589,False
CP4,-0.018717423557891556,0.2960638096082468,30,0.054053608994450504,-0.34627518691329584,0.7291359144403959,0.9996030454813589,False
CP5,0.020047485810926736,0.3030335390009637,30,0.05532610166381644,0.36235131715484475,0.7170895143369225,0.9996030454813589,False
CP6,-0.032073304151591854,0.24949246978293482,30,0.04555088454259648,-0.704120336490915,0.481357836426346,0.9996030454813589,False
CPz,-0.028934357390556196,0.30725711790918203,30,0.05609721814429452,-0.5157895230407076,0.6060014207657876,0.9996030454813589,False
Cz,-0.002016685928040321,0.31773412932951295,30,0.058010049974346015,-0.03476442321515267,0.9722675896345465,0.9996030454813589,False
F1,0.01586081871360493,0.33526895999959494,30,0.061211457407691794,0.25911519485585505,0.7955463612769758,0.9996030454813589,False
F2,0.02193685693397161,0.36990035584809255,30,0.06753425630906276,0.3248256238075697,0.745313050251355,0.9996030454813589,False
F3,0.009852032878833747,0.30854230764131896,30,0.05633186061328299,0.17489272982598145,0.8611639229896044,0.9996030454813589,False
F4,0.009229488099119115,0.33783166819990673,30,0.06167934177089654,0.14963661793605681,0.8810513164936873,0.9996030454813589,False
F5,-0.011115894556615042,0.3082530606986295,30,0.05627905158821619,-0.19751389269933092,0.8434254107768153,0.9996030454813589,False
F6,0.009372709114515489,0.3304095949719235,30,0.06032426279408934,0.15537212856638244,0.8765279554972865,0.9996030454813589,False
