sub_ch,Group,C(state)[T.OT],subject[C(subject_id)[10]],subject[C(subject_id)[11]],subject[C(subject_id)[12]],subject[C(subject_id)[13]],subject[C(subject_id)[14]],subject[C(subject_id)[15]],subject[C(subject_id)[16]],subject[C(subject_id)[17]],subject[C(subject_id)[18]],subject[C(subject_id)[19]],subject[C(subject_id)[1]],subject[C(subject_id)[20]],subject[C(subject_id)[21]],subject[C(subject_id)[22]],subject[C(subject_id)[23]],subject[C(subject_id)[24]],subject[C(subject_id)[25]],subject[C(subject_id)[26]],subject[C(subject_id)[27]],subject[C(subject_id)[28]],subject[C(subject_id)[29]],subject[C(subject_id)[2]],subject[C(subject_id)[30]],subject[C(subject_id)[3]],subject[C(subject_id)[4]],subject[C(subject_id)[5]],subject[C(subject_id)[6]],subject[C(subject_id)[7]],subject[C(subject_id)[8]],subject[C(subject_id)[9]]
10_AF3,0.5579999611603519,-0.04450712200410921,0.5547224983085945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_AF4,0.6239461887005046,-0.06033067547086148,0.6190041538757939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_AF7,0.44932065778700775,-0.15292509112429412,0.4325247117538919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_AF8,0.5866662546032604,-0.09952284919441205,0.5768449690840676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_AFz,0.5931184175692762,-0.029991765980523003,0.5917284029106336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_C1,0.2846690464633149,-0.31186718883693193,0.2480347527632666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_C2,0.21465196530313688,-0.2357639386398208,0.18695526173204904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_C3,0.10793255630172723,0.02698503596231228,0.1116022375169414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_C4,0.033005369785688896,-0.09935781373340274,0.02111654310535429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_C5,-0.06036905671843925,0.2492624472544034,-0.03045855938429166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_C6,-0.08257699398511965,0.09465668886681824,-0.071443478687234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_CP1,0.2462378708563299,-0.13140443727130724,0.23127827548141738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_CP2,0.12405150577371679,-0.08305832534248603,0.1144767121497071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_CP3,0.40972361745068964,-0.13900394757147,0.3944615702956802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_CP4,0.05118620437885808,0.019714121342882272,0.053762811888698483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_CP5,0.390348395343835,0.05592326689419235,0.3985817800010022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_CP6,-0.03807772642627903,-0.10872374686131049,-0.05136698825981909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_CPz,0.18118182308773798,-0.14076471206687158,0.1648452007873876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Cz,0.17495997110281614,-0.18251418251016316,0.15355199739132266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_F1,0.3846697770624632,0.008615990286483336,0.3871618688884962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_F2,0.4826299753085952,-0.0184891241259458,0.48221415513595134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_F3,0.20583828189146916,-0.09895882268502754,0.19464933749249366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_F4,0.3943301747577675,-0.057506078072158504,0.3888639267979562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_F5,0.11451816824515054,-0.22371057864283728,0.08790128665995176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_F6,0.4122247048941803,-0.07023216991254748,0.40528722467432116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_F7,0.3164108425980711,-0.313191611355966,0.27973609179039827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_F8,0.49592440293881346,-0.11193574288962797,0.48426015647031995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_FC1,0.2324923121710665,-0.09316882282558227,0.22210392674481397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_FC2,0.31199867110878327,-0.11602526233987706,0.2991464999030134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_FC3,0.034384194726274256,0.00957130736238493,0.035671093790388846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_FC4,0.16043588031873557,-0.09749766703833755,0.14925242004599815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_FC5,-0.06537885088400983,-0.08001623092925111,-0.07530004626149765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_FC6,0.19026248535999027,-0.07043767813293554,0.18246328200566003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_FCz,0.06139013341901105,-0.01798204934768692,0.05944740148013119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_FT7,0.10105936334297601,-0.04924651729240201,0.09548603815142036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_FT8,0.3540537137646976,0.04104574428780658,0.36035142619536087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Fp1,0.5599581823252356,-0.03862388361086405,0.5573994399875922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Fp2,0.6379358112960676,-0.06238050701876939,0.6327986788649632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Fpz,0.6283503018077757,-0.04017989400568573,0.6258612858259991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Fz,0.5021061427373187,-0.046980600578740254,0.49831887442900696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Iz,0.594566278563665,-0.6954772312532035,0.512718443045667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_O1,0.32796052678648824,-0.02390749003086278,0.32630641862074156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_O2,0.5849940634518087,-0.4861348571065947,0.5284215451736649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Oz,0.597275384373357,-0.6853698553580787,0.5166598373288297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_P1,0.3370725379747455,-0.058528072006321624,0.3312668402549265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
